id,year,title,reviews_count,wish_count,collect_count,tags,pubdates,languages,durations,genres,countries,summary,aka,castsid,castsname,directorsid,directorsname,writersid,writersname
1292001,1998,海上钢琴师,5667,288030,1374932,"['经典', '海上钢琴师', '音乐', '人生', '钢琴', '意大利', '剧情', '意大利电影', '文艺', '信念']","['1998-10-28(意大利)', '2019-11-15(中国大陆)']","['英语', '法语', '意大利语']","['165分钟', '120分钟(法国版)', '169分钟(加长版)', '125分钟(中国大陆)']","['剧情', '音乐']",['意大利'],"本片讲述了一个钢琴天才传奇的一生。
1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆•罗斯 饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士 乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。
可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。©豆瓣","['声光伴我飞(港)', '一九零零的传奇', '1900海上钢琴师', '传奇1900', 'The Legend of 1900', 'The Legend Of The Pianist On The Ocean']","['1025176', '1010659', '1027407', '1161241', '1018983', '1005822', '1018983']","['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世']","['1025176', '1010659', '1027407', '1161241', '1018983', '1005822', '1018983']",['朱塞佩·托纳多雷'],"['1025176', '1010659', '1027407', '1161241', '1018983', '1005822', '1018983']","['亚利桑德罗·巴里克', '朱塞佩·托纳多雷']"
30272143,2018,盗梦特攻队,105,76963,28287,"['动画', '艺术', '黑色幽默', '匈牙利', '犯罪', '剧情', '黑色', '2018', '悬疑', '文艺']","['2018-08-09(洛迦诺电影节)', '2018-11-15(匈牙利)', '2019-11-15(中国大陆)']","['英语', '匈牙利语']",['94分钟'],"['犯罪', '动画']",['匈牙利'],心理治疗师鲁本的梦境饱受“妖魔化”的名画侵扰，蒙娜丽莎、维纳斯全都成了骇人的噩梦怪物;若想一觉好眠，唯一的办法是偷走所有入侵他梦里的名画。为帮助鲁本脱离梦魇，他与四名身怀绝技的病人联手组团偷遍罗浮宫、泰特现代艺术馆等各大美术馆一场飞天遁地、瞒天过海的疯狂盗窃计划也就此展开...,"['盗画梦惊魂(港)', '收藏家鲁本·勃兰特', '鲁本·勃兰特，一个收藏家', '收藏家', 'Ruben Brandt, Collector']","['1112913', '1042077', '1256301', '1414961', '1414959', '1414959', '1414960']","['伊万·卡马拉斯', '加布里瑞拉·哈默里', '佐兰·马克兰兹', '乔鲍·马顿']","['1112913', '1042077', '1256301', '1414961', '1414959', '1414959', '1414960']",['米洛拉德·科斯蒂奇'],"['1112913', '1042077', '1256301', '1414961', '1414959', '1414959', '1414960']","['米洛拉德·科斯蒂奇', '拉德米拉‧罗兹科夫']"
26612258,2019,霹雳娇娃,5,12015,135,"['动作', '女性', '美国', '2019', '喜剧', '犯罪', '冒险', '特工', '美女', '剧情']","['2019-11-15(美国)', '2019-11-15(中国大陆)']",['英语'],['119分钟'],"['动作', '冒险']",['美国'],讲述了新一代火辣美女天使克里斯汀·斯图尔特、娜奥米·斯科特、埃拉·巴林斯卡霸气组队强势打击危险势力的故事。本片由好莱坞实力派导演及演员伊丽莎白·班克斯执导，高空跳伞、狂野飙车、拳脚肉搏、激燃枪战等惊险动作场面接连不断，肾上腺素飙升。三大天使特工技能高超，大玩变身诱惑上演温柔杀机。,"['查理的天使', '新霹雳娇娃', '霹雳天使']","['1012533', '1325313', '1398695', '1004571', '1004571', '1004571', '1298164', '1332597']","['克里斯汀·斯图尔特', '娜奥米·斯科特', '埃拉·巴林斯卡', '伊丽莎白·班克斯']","['1012533', '1325313', '1398695', '1004571', '1004571', '1004571', '1298164', '1332597']",['伊丽莎白·班克斯'],"['1012533', '1325313', '1398695', '1004571', '1004571', '1004571', '1298164', '1332597']","['伊丽莎白·班克斯', '埃文·斯彼里奥托普洛斯', '大卫·奥伯恩']"
25747204,2019,长安道,60,11522,1436,"['悬疑', '范伟', '焦俊艳', '陈数', '国产', '盗墓', '小说改编', '宋洋', '2019', '中国']",['2019-11-15(中国大陆)'],['汉语普通话'],['113分钟'],"['剧情', '犯罪', '悬疑']",['中国大陆'],"为破获一起大型国宝失窃案，身为刑警的赵红雨（焦俊艳饰），为了调查亲生父亲万正纲（范伟饰）的现任妻子林白玉（陈数饰），在搭档邵宽城（宋洋饰）的掩护之下，到其身边卧底。就在案件得以水落石出之时，这批国家宝藏竟在警察的严密监控下不翼而飞，林白玉也突然失踪……
身为历史学教授的万正纲遭到警察怀疑，作为女儿的赵红雨决心找父亲探询真相，却不料陷入一场更大的危机。是夫妻反目成仇引发的悲剧？还是父女冰释前嫌时突遇袭击？在邵宽城的调查下，随着真相浮出水面的，是一场真正关于人性的博弈……",['长安盗'],"['1051526', '1316200', '1312818', '1274346', '1320190', '1320190', '1325321', '1275265']","['范伟', '宋洋', '焦俊艳', '陈数']","['1051526', '1316200', '1312818', '1274346', '1320190', '1320190', '1325321', '1275265']",['李骏'],"['1051526', '1316200', '1312818', '1274346', '1320190', '1320190', '1325321', '1275265']","['李骏', '丁小洋', '海岩']"
34142992,2019,那一夜，我给你开过车,4,10167,170,"['剧情', '社会', '中国电影', '中国', '2019', '上海国际电影节', '大陆', '田雨', '华语', '国影']","['2019-06-18(上海电影节)', '2019-11-15(中国大陆)']",['汉语普通话'],['110分钟'],['剧情'],['中国大陆'],该片通过一个代驾司机李渤的眼睛，展现人生百态，社会热点，虽然故事发生在夜晚，只是一段或长或短的车程，却让代驾司机李渤一次次生出念头，相对醉倒在眼前或哭或笑的人说一句，你这样做，不会后悔吗…………,['Driving for You All Night'],"['1316331', '1274978', '1316739', '1274288', '1417829', '1322715']","['田雨', '左小青', '种丹妮', '刘金山']","['1316331', '1274978', '1316739', '1274288', '1417829', '1322715']",['林晓丽'],"['1316331', '1274978', '1316739', '1274288', '1417829', '1322715']",['柳桦']
30300105,2018,麦子的盖头,7,8994,584,"['中国', '情感', '中国电影', '人性', '中国大陆', '女性', '乡村', '社会', '悬疑', '最佳评分']","['2018-08(蒙特利尔电影节)', '2018-12-13(海南岛电影节)', '2019-11-15(中国大陆)']",['汉语普通话'],['112分钟'],"['剧情', '悬疑']",['中国大陆'],麦子的丈夫马豆根在煤矿事故中受了伤，完全瘫痪不能治愈，由此引发出麦子跟马豆根和矿主老于之间充满悬疑色彩的一场人性较量，麦子用她的坚贞和执着发现了美丽谎言背后的真相，她对未来的生活也不知会做出怎样的选择。,['The Commitment'],"['1342926', '1314471', '1040928', '1317859', '1318442', '1318442', None]","['徐岑子', '王挺', '刘孜', '彭波']","['1342926', '1314471', '1040928', '1317859', '1318442', '1318442', None]",['鲁坚'],"['1342926', '1314471', '1040928', '1317859', '1318442', '1318442', None]","['鲁坚', '何甜园']"
30362186,2019,大约在冬季,66,7977,1498,"['爱情', '青春', '回忆', '文艺', '剧情', '中国大陆', '2019', '想看华哥', '人生', '初恋']",['2019-11-15(中国大陆)'],['汉语普通话'],[],"['剧情', '爱情']",['中国大陆'],1991年齐秦狂飙演唱会上，北师大才女安然（马思纯 饰）和来自台北的摄影师齐啸（霍建华 饰）因缘相识，曲终人散后再度重逢的二人陷入热恋，然而不是勇敢就一定能拥有爱，不是所有再见都能再见！在漂泊岁月中，弄丢了挚爱的我们，是否还能安然无恙？没有我的日子里，你是否能保重自己？2019年，齐啸和安然能否重逢？,['Somewhere Winter'],"['1275243', '1015713', '1314064', '1318734', '1337475', '1341923']","['马思纯', '霍建华', '魏大勋', '张瑶']","['1275243', '1015713', '1314064', '1318734', '1337475', '1341923']",['王维明'],"['1275243', '1015713', '1314064', '1318734', '1337475', '1341923']",['饶雪漫']
30247400,2018,萌宠特工队,2,1895,83,"['动画', '德国', '大橘猫', '2019', '比利时', '搞笑', '美国', '喜剧']","['2018-10-25(葡萄牙)', '2019-11-15(中国大陆)']","['德语', '英语']",['93分钟'],"['动画', '冒险', '家庭']","['德国', '比利时']",小镇盗窃案频频发生，一只梦想成为大侦探的猫咪为了找出真凶决定离家出走。旅途中的她遇到了一只自认风度翩翩的公鸡，一只梦想成为马戏团明星的驴，一只仇恨人类的守门狗。四只小动物历经磨合，即将找出真凶时，却被误认为是偷窃真凶。他们该如何证明清白，如何守护友谊和梦想……,"['呆萌特务(台)', 'Marnie’s World']","['1005100', '1000864', '1034454', '1035034', '1034454', '1035034', '1321948']","['亚历桑德娜·内尔德尔', '阿克西尔·普拉尔']","['1005100', '1000864', '1034454', '1035034', '1034454', '1035034', '1321948']","['克里斯托弗·劳恩斯坦', '沃尔夫冈·劳恩斯坦']","['1005100', '1000864', '1034454', '1035034', '1034454', '1035034', '1321948']","['克里斯托弗·劳恩斯坦', '沃尔夫冈·劳恩斯坦', '耶斯伯·穆勒']"
27000741,2019,摇滚吧！老爸,0,54,5,"['音乐', '音乐人']",['2019-11-15(中国大陆)'],['汉语普通话'],['94分钟'],"['剧情', '儿童', '音乐']",['中国大陆'],电影为一部公路亲子喜剧，秦勇饰演一位摇滚歌手黑梦，在事业最辉煌的时候与影视明星王心语结婚并有了女儿兜兜，原本生活可以一直幸福下去，他却因为沉迷音乐加上性格古怪使得妻子带着女儿离他而去。离婚后的黑梦在经历了被封杀、被公司解约的多重打击下跌入人生低谷，后在经纪人和女儿的帮助下开始了一段云南自驾采风之旅，最终他重回舞台创造奇迹，也收获了亲情、爱情和友情。,"['摇滚吧，老爸', '摇滚老爸', 'Rock Papa']","['1358664', '1318999', '1403103', '1426016', None, None, None, None]","['秦勇', '田娃', '贾舒涵', '王尔娅']","['1358664', '1318999', '1403103', '1426016', None, None, None, None]","['王将左隆', '陈秋竹']","['1358664', '1318999', '1403103', '1426016', None, None, None, None]","['陈秋竹', '王将左隆']"
34865278,2019,一个秘密,0,27,2,[],['2019-11-15(中国大陆)'],['汉语普通话'],['97分钟'],['剧情'],['中国大陆'],一次意外，小包里东西成为秘密，老实巴交的出租司机王大明和重病缠身的妻子周春梅艰难痛苦地守着这个秘密整整十年，直到他们唯一的儿子王诚考上了大学……,['A Secret'],"['1352673', '1407798', '1424735', '1407476', '1424734', None]","['高玉林', '贺彤雨', '刘武搏', '胡昌霖']","['1352673', '1407798', '1424735', '1407476', '1424734', None]",['罗小华'],"['1352673', '1407798', '1424735', '1407476', '1424734', None]",['罗小华']
